"keyword","keywordType","category","subcategory","traffic","categoryRank","mostClickedOrganicAsin","mostClickedSpAsin","firstPageOrganicCoverage","firstPageSpSOV","overallSpSOV","overallSpACOS","overallSbSOV","overallSbACOS","duration"
"peacan nut","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","1-100","16451","B08LGJSNMZ","B092NJHFX7","3.85","0.00","0.00","0.00","0.00","0.00","7days"
"kadava+badam","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","1-100","16486","B07VZ14PX6","B01LPY9P2I","3.54","0.00","0.00","0.00","0.00","0.00","7days"
"tata sampan almond","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","1-100","16494","B09GNV7YZM","B09GNV7YZM","17.93","0.00","0.00","0.00","0.00","0.00","7days"
"almon kernels whole","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","1-100","16507","B09TQYN2DT","B09DT5XW8V","13.04","0.00","0.00","0.00","0.00","0.00","7days"
"almonds and cashew 1kg offers low price","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","1-100","16560","B0B3954NJ4","B07RX2MKRF","6.47","20.00","16.22","0.00","20.00","0.00","7days"
"california almnds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","1-100","16584","B01LY6B08A","B0992KMQYL","17.98","0.00","0.00","0.00","0.00","0.00","7days"
"berries and nuts almond flour","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Almonds","1-100","16597","B07H1JXCFD","B0B4DPJ9C3","17.00","0.00","8.33","0.00","37.84","0.00","7days"
"almonds 500rs. 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","1-100","16601","B0992KMQYL","B09HRZ45SQ","16.67","40.00","13.79","0.00","32.14","0.00","7days"
"vedika almonds 500gm","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","1-100","16670","B07GQNQNJG","B07GQNM6N2","21.58","20.00","0.00","0.00","0.00","0.00","7days"
"yum yum dry fruits combo","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Almonds","1-100","16684","B0974JHBB4","B0BH942LP3","6.98","0.00","2.38","0.00","30.61","0.00","7days"
"best+dry+fruits+powder+for+babies","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","1-100","16696","B07GCYX9JF","B0BBSBQBK1","1.79","0.00","2.13","0.00","28.57","0.00","7days"
"bafam 1 kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","1-100","16703","B08XXPN5Z3","B0992KMQYL","18.94","0.00","0.00","0.00","0.00","0.00","7days"
"gulbandi almond 250 gram","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","1-100","16756","B09NFLNMRK","B0992KMQYL","13.04","40.00","28.57","0.00","30.43","0.00","7days"
"almond true elements","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","1-100","16772","B09TZVCVNB","B09TZVCVNB","34.48","15.00","10.71","0.00","66.67","0.00","7days"
"cashew 1/2kg offers low price","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","1-100","16773","B07H4XVFCK","B07GQW1HHN","32.14","0.00","0.00","0.00","0.00","0.00","7days"
"farmley almond 500gm","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","1-100","16782","B08CN8L53P","B084884GKX","31.43","40.00","35.80","11.40","59.62","0.00","7days"
"amazon fresh items almond","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","1-100","16806","B07GQNLYBN","B0992KMQYL","24.14","27.27","0.00","7.60","0.00","0.00","7days"
"califonia almonds 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","1-100","16850","B09M6RRYDM","B0758D1ZJ9","20.00","0.00","0.00","0.00","0.00","0.00","7days"
"brill roasted almonds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","1-100","16886","B0BKT74DXK","B07GQQJP1N","4.91","20.00","22.58","0.00","34.29","0.00","7days"
"nutraj nuts","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Almonds","1-100","16897","B0176WD4LQ","B07LF8HCLL","3.29","14.89","12.73","0.00","19.67","0.00","7days"
"cashew almonds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","1-100","16922","B084884GKX","B09WRMXP9Z","32.49","40.00","23.08","0.00","31.37","0.00","7days"
"dry khismish","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","1-100","16946","B08487YGZQ","B07GR82XJR","17.48","0.00","0.00","0.00","0.00","0.00","7days"
"mamra+badam+1+kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","1-100","16966","B0B4SVFFT3","B084884GKX","5.16","20.00","18.33","0.00","20.00","0.00","7days"
"american badam 1kg offers","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","1-100","16973","B0B4SVFFT3","B0992KMQYL","19.70","46.67","42.86","0.00","53.03","0.00","7days"
"badam almond","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","1-100","17002","B01LY6B08A","B0992KMQYL","21.43","44.00","24.56","18.05","43.48","0.00","7days"
"almond 100","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","1-100","17025","B0992KMQYL","B099T7TWX7","22.70","38.89","37.50","0.00","60.53","0.00","7days"
"imported almonds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","1-100","17050","B0992KMQYL","B0992KMQYL","21.43","24.00","21.21","0.00","63.89","0.00","7days"
"solimo california almonds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","1-100","17067","B08C8H8BZP","B01LPY9XY8","28.23","7.41","0.00","0.00","0.00","0.00","7days"
"mamra almonds happilo","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","1-100","17096","B09SXV9MV1","B08J2Y66LV","25.62","34.43","23.14","0.00","44.14","0.00","7days"
"california+badam","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","1-100","17124","B0992KMQYL","B07GQNM6N2","1.40","20.00","0.00","0.00","0.00","0.00","7days"
"happilo almond 500 gram","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","1-100","17183","B084884GKX","B084884GKX","82.28","68.00","0.00","0.00","0.00","0.00","7days"
"farmley walnut 1kg","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Almonds","1-100","17210","B06X6KRZW1","B01ABU07GU","2.34","31.03","27.27","0.00","4.35","0.00","7days"
"dry fruits mixed pack 500g","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","1-100","17222","B0BHJDKLKK","B01LY6B085","33.51","22.73","23.08","0.00","62.50","0.00","7days"
"fresh almonds 500gm","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","1-100","17233","B01LPY9R08","B084884GKX","24.29","44.00","0.00","15.74","0.00","0.00","7days"
"charoli 50 gm","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","1-100","17235","B07GRBFFMS","B07L991LBG","10.92","3.13","0.00","0.00","0.00","0.00","7days"
"amlonds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","1-100","17244","B01LY6B08A","B07GQNQNJG","27.21","0.00","0.00","0.00","0.00","0.00","7days"
"roasted almond barks","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","1-100","17265","B071FRB8VD","B084P9PMPV","3.28","3.92","2.30","0.00","25.93","0.00","7days"
"dries plums","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","1-100","17332","B00RTBV0R0","B00RTBV0R0","10.34","0.00","0.00","0.00","0.00","0.00","7days"
"ammond","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","1-100","17364","B084884GKX","B0992KMQYL","33.90","31.43","31.37","2.84","9.68","0.00","7days"
"dry fruit mix combo pack","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","1-100","17394","B01LY6B085","B0992MKQ9V","20.18","17.65","18.18","0.00","33.33","0.00","7days"
"dryfruits powder","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","1-100","17428","B07D8R1VBB","B0956NRMWB","0.69","0.00","0.00","0.00","0.00","0.00","7days"
"hemps+seeds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","1-100","17443","B01MEHGSRK","B075469JKC","2.78","0.00","0.00","0.00","0.00","0.00","7days"
"dry food 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","1-100","17449","B0BJ9BKKJS","B085NTZMVR","15.22","13.04","11.29","0.00","41.59","0.00","7days"
"kagazi badam","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","1-100","17473","B09NTJW5CM","B09GNV7YZM","11.37","0.00","0.00","0.00","0.00","0.00","7days"
"mamra giri badam 500gm","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","1-100","17529","B073SV86PJ","B09B3RC9BB","7.75","20.00","17.31","0.00","45.61","0.00","7days"
"badam 1/2 kg offers","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","1-100","17541","B084884GKX","B0992KMQYL","29.95","42.86","0.00","1.41","0.00","0.00","7days"
"white mamra badam","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","1-100","17556","B09SZ51JK5","B08ZL462YY","5.66","10.64","7.04","0.00","51.85","0.00","7days"
"munakka 1kg high quality","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","1-100","17590","B07D5G1ZW7","B09MW4L3WC","15.94","0.00","7.14","0.00","0.00","0.00","7days"
"eatopia nut pops","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","1-100","17595","B081N3L7X9","B0973SKJB3","6.34","0.00","0.00","0.00","0.00","0.00","7days"
"batham250 kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","1-100","17600","B07W83YWW7","B01LPY9XY8","11.49","3.33","6.36","0.00","22.33","0.00","7days"
"american badam","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","1-100","17665","B08KWFK9HQ","B0992KMQYL","22.34","42.31","43.33","0.00","62.50","0.00","7days"
