"keyword","keywordType","category","subcategory","traffic","categoryRank","mostClickedOrganicAsin","mostClickedSpAsin","firstPageOrganicCoverage","firstPageSpSOV","overallSpSOV","overallSpACOS","overallSbSOV","overallSbACOS","duration"
"organic raisin","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1-100","7667","B08F498VV4","B07H1C7MCF","17.55","38.27","31.15","0.00","41.13","0.00","7days"
"happilo khurmani","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1-100","7703","B01LY6B08A","B01M04G25G","28.53","17.78","16.33","0.00","59.72","4.63","7days"
"green kismis 1kg offers low price dry fruit","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1-100","7741","B01HBRBWG0","B08487YGZQ","25.63","54.72","52.05","0.00","57.97","0.00","7days"
"kismis long size","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1-100","7755","B08KXV49ZJ","B08PDDM6L6","18.97","42.37","29.57","0.00","53.21","0.00","7days"
"munka dakh","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1-100","7791","B07WC76G4G","B01LPYAB9O","2.25","0.00","0.00","0.00","0.00","1.57","7days"
"black raisen","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1-100","7801","B07GR346FX","B08JR78WB7","13.92","0.00","0.00","0.00","0.00","0.00","7days"
"kismis 1 kg packet offers","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1-100","7807","B07GR82XJR","B07GR82XJR","20.39","41.07","41.25","0.00","54.13","0.00","7days"
"black rasine dry fruits","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1-100","7842","B0758D1ZGX","B01LZH17BR","30.40","0.00","0.00","0.00","0.00","0.00","7days"
"athi dry fruits","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1-100","7874","B01LZ5DFW2","B0758D65V3","42.86","100.00","0.00","0.95","0.00","0.00","7days"
"kismis black 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1-100","7890","B09416T9PH","B01M23QPIU","20.32","40.00","37.50","0.00","61.54","0.00","7days"
"drakshi","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1-100","7900","B00L926Q5G","B07GR3S1RR","14.02","27.78","25.26","0.00","15.79","0.00","7days"
"kissmiss 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1-100","7916","B08C8HDQST","B07GR82XJR","24.39","0.00","0.00","0.00","0.00","0.00","7days"
"kismis dry fruits 1kg offer big size","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1-100","7977","B0BH3SXFMT","B0758JGNHN","17.88","36.67","38.24","0.00","55.00","0.00","7days"
"raisin black seedless","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1-100","7995","B01LZH17BR","B07GQVNVV8","21.95","38.10","39.13","0.00","53.33","0.00","7days"
"happilo green raisins 250 grams","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1-100","8030","B01LZGVQV4","B01LZGVQV4","51.72","59.52","0.00","0.00","0.00","0.00","7days"
"munnkka","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1-100","8048","B07CN8Z9RZ","B074Y88C4X","12.28","0.00","0.00","0.00","0.00","0.00","7days"
"raisan","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1-100","8101","B07GR3S1RR","B07GR3S1RR","22.92","26.76","27.85","0.00","56.76","0.00","7days"
"raisins long","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1-100","8139","B08VGDWJRM","B08PDDM6L6","12.69","56.00","0.00","0.00","0.00","0.00","7days"
"kitchen jungle black raisins","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1-100","8180","B09KPVKWZR","B08W461PXG","14.11","8.86","6.80","0.00","53.33","0.00","7days"
"organic raisins 500g","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1-100","8188","B07B9V9XKD","B07RJXW87Z","16.30","41.18","39.44","0.00","55.00","0.00","7days"
"dry black grapes with seeds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1-100","8191","B08HV6RK3J","B07GQVNVV8","19.38","30.95","24.14","34.10","28.57","0.00","7days"
"dry fruits kismis 500g","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1-100","8212","B07RJXW87Z","B08487YGZQ","30.04","31.08","33.33","6.04","45.95","0.00","7days"
"manukka big with seed","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1-100","8266","B08CDLCNKD","B07VHDPZ2B","11.11","0.00","0.00","0.00","0.00","0.00","7days"
"dry black raisins","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1-100","8292","B08NJKQC4C","B08JR78WB7","17.08","34.92","32.84","11.19","47.62","0.00","7days"
"dry fruits resins","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1-100","8350","B01LZH17BR","B0758D1ZGX","44.01","25.00","25.00","0.00","62.96","5.72","7days"
"raisins 250gm","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1-100","8353","B01LPYAB9O","B0758JGNHN","15.88","32.08","32.79","0.00","53.25","0.00","7days"
"black raisi","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1-100","8363","B0758J6W7D","B08JR78WB7","12.41","0.00","0.00","0.00","0.00","0.00","7days"
"afghani seedless black raisins black kishmish kala munakka","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1-100","8375","B0758J6W7D","B01LZH17BR","24.75","27.50","25.00","0.00","59.18","0.00","7days"
"black munakka 250g","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1-100","8407","B01LZH17BR","B01LZH17BR","20.94","27.66","22.39","0.00","56.94","0.00","7days"
"happilo dry fruits cranberry","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1-100","8416","B01LZ59BPM","B07GR2G678","25.93","66.67","0.00","0.00","0.00","0.00","7days"
"kishmish 1kg offers low price green","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1-100","8451","B08487YGZQ","B07GR82XJR","14.74","40.00","0.00","12.92","0.00","0.00","7days"
"munka 250 gram","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1-100","8452","B07CN8Z9RZ","B08JR78WB7","10.00","0.00","0.00","0.00","0.00","0.00","7days"
"kali kismis 1kg offers low price","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1-100","8541","B08L1XKWMV","B07GR82XJR","11.55","42.31","37.74","0.00","53.54","3.69","7days"
"kismis long","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1-100","8548","B08R2X1W15","B08PDDM6L6","18.73","44.83","35.56","0.00","37.78","0.00","7days"
"hapillio raisins","BRANDED","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1-100","8552","B08487YGZQ","B0758JGNHN","42.97","57.14","55.17","0.00","52.50","0.00","7days"
"raisins 1_kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1-100","8561","B011EFYNG6","B07GR3S1RR","15.99","18.42","15.15","0.00","22.09","0.00","7days"
"kimish","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1-100","8602","B09GNSFRVC","B01LZGVQV4","7.00","21.52","17.89","9.40","20.00","0.00","7days"
"tulsi raisins","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1-100","8604","B01HBRBWG0","B0758JGNHN","28.62","36.36","33.33","0.00","54.29","0.00","7days"
"raisin 500g","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1-100","8619","B07GR3S1RR","B0999LV33G","20.13","34.48","31.25","0.00","43.53","0.00","7days"
"green dry grapes","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1-100","8646","B0758D1ZGX","B0758D1ZGX","28.11","50.00","47.22","0.00","60.42","0.00","7days"
"nuts about you raisin round pouch, 500 g","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1-100","8695","B06WVBRCJ4","B0758JGNHN","26.15","66.67","0.00","0.00","0.00","0.00","7days"
"kitchen jungle black raisins 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1-100","8733","B08W461PXG","B0992PM5C2","14.25","35.19","32.76","0.00","60.87","0.00","7days"
"green kismis 250 gram","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1-100","8735","B01LZGVQV4","B08C8HDQST","25.20","51.43","46.51","7.01","51.92","0.00","7days"
"raisin green","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1-100","8753","B08PDDM6L6","B08PDDM6L6","23.63","60.00","47.06","0.00","50.79","0.00","7days"
"dried raisin","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1-100","8803","B09FQ2QZLM","B0758JGNHN","14.34","31.58","26.09","0.00","57.50","3.28","7days"
"kishmish 500gm offers low price","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1-100","8870","B06WVBRCJ4","B07GR3S1RR","21.93","36.54","35.71","0.00","58.82","0.00","7days"
"green kismis 500gm best quality","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1-100","8898","B08487YGZQ","B01LZGVQV4","29.35","70.00","55.26","0.00","53.66","0.00","7days"
"seedless black rasin","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1-100","8917","B09416T9PH","B08JR78WB7","32.00","0.00","0.00","0.00","0.00","0.00","7days"
"24 mantra raisins","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1-100","8960","B08F498VV4","B07GRBFFMR","11.07","6.67","6.52","0.00","15.38","0.00","7days"
"kismish 250gm tata","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1-100","8970","B09GNSFRVC","B01LPYAB9O","7.43","0.00","0.00","0.00","0.00","0.00","7days"
"dry fruit black raisins","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1-100","8981","B09416T9PH","B01LZH17BR","22.44","17.78","21.05","9.71","57.14","0.00","7days"
"vedaka raisins 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1-100","9010","B0758JGNHN","B07GR82XJR","7.67","24.14","0.00","0.00","0.00","0.00","7days"
"black kishmish 250g","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1-100","9041","B08NJKQC4C","B01LZH17BR","24.15","20.00","0.00","14.30","0.00","0.00","7days"
"black dried raisins","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1-100","9049","B09416T9PH","B0758J6W7D","24.71","44.85","37.80","0.00","62.50","0.00","7days"
"green raisins seedless","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1-100","9091","B0758JGNHN","B08JR78WB7","32.62","80.00","79.41","0.00","56.10","0.00","7days"
"raisins 500","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1-100","9094","B07RJXW87Z","B0758JGNHN","23.62","46.67","0.00","0.00","0.00","0.00","7days"
"black raisins with seeds 250g","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1-100","9121","B08HV51CC3","B07GR346FX","17.29","11.54","10.71","0.00","56.25","0.00","7days"
"kismish 500 grm","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1-100","9127","B06WVBRCJ4","B08487YGZQ","28.76","0.00","0.00","0.00","0.00","0.00","7days"
"unakka munthiri black 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1-100","9142","B07GR346FX","B07QQX9KGV","23.30","23.53","22.22","0.00","56.41","0.00","7days"
