"keyword","keywordType","category","subcategory","traffic","categoryRank","mostClickedOrganicAsin","mostClickedSpAsin","firstPageOrganicCoverage","firstPageSpSOV","overallSpSOV","overallSpACOS","overallSbSOV","overallSbACOS","duration"
"blueberry dry fruit 100gm","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","1-100","9168","B0BPCVHKZS","B07DPMLBGF","4.45","0.00","0.00","0.00","34.09","0.00","7days"
"prunes dry fruits 1kg offer","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","1-100","9251","B08Y5ZKQRB","B098MFTTZ6","0.85","0.00","0.00","0.00","10.08","0.00","7days"
"blue berry dry fruits","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","1-100","9336","B01MCVLVC7","B0BC6FQDWB","21.43","0.00","0.00","8.32","0.00","0.00","7days"
"bluebarries","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","1-100","9439","B005SH5FJG","B07GQWST7K","19.39","0.00","0.00","0.00","0.00","0.00","7days"
"nutraj prunes","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","1-100","9594","B07SVPGFHN","B075VTYRMD","3.41","2.50","1.92","0.00","20.59","0.00","7days"
"plum fruit dry","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","1-100","9622","B07NDSF4JL","B074MCCDLN","0.51","0.00","0.00","0.00","0.00","0.00","7days"
"prunes dry fruits without sugar organic","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","1-100","9790","B00OOHS0AC","B08H2HK75G","1.04","0.00","0.00","0.00","20.63","0.00","7days"
"true elements blueberries","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","1-100","10067","B01AWJJ1Y4","B01AWJJ1Y4","6.80","0.00","0.00","0.00","0.00","0.00","7days"
"happilo dried kiwi","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","1-100","10323","B0758JGNHJ","B07Q8MPBHT","63.32","90.80","85.59","16.52","29.17","0.00","7days"
"blueberries 1 kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","1-100","10381","B0BN6H5ZZ7","B0B34WWFV6","14.69","0.00","0.00","0.00","55.00","0.00","7days"
"cranberry products","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","1-100","10622","B01LZ59BPM","B07GQS1669","18.78","8.00","0.00","0.00","0.00","0.00","7days"
"dry blueberry and strawberry","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","1-100","10691","B07GR82XK8","B0B34WWFV6","7.69","0.00","0.00","0.00","25.00","0.00","7days"
"ras berry","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","1-100","10760","B01LXIWNMH","B07GR2G678","12.39","0.00","0.00","0.00","22.03","0.00","7days"
"dried blueberries unsweetened","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","1-100","11106","B09B2C4HDC","B01AWJJ1Y4","6.25","0.00","0.00","0.00","18.48","0.00","7days"
"california blueberries","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","1-100","11517","B08F5GZDBS","B01LYTOXJ1","11.86","18.75","13.64","0.00","38.24","0.00","7days"
"prunes dry fruits 500 grams","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","1-100","11520","B07WC4ZSBR","B09HPXHJMZ","6.80","0.00","0.00","0.00","0.00","0.00","7days"
"nature yard dried blueberries","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","1-100","11887","B0B821KVL6","B09J1JNX6K","3.57","0.00","0.00","0.00","0.00","0.00","7days"
"malberry","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","1-100","12052","B01LXIWNMH","B01LXIWNMH","0.69","14.86","12.22","0.00","6.45","0.00","7days"
"cherry plum dry fruits","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","1-100","12211","B09J2H4VQ4","B07GR8351K","4.35","0.00","0.00","0.00","0.00","0.00","7days"
"vedaka berries","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","1-100","12251","B07GR24VMZ","B07GR2G678","11.98","10.00","14.29","0.00","16.67","0.00","7days"
"candied cherries","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","1-100","12342","B094R9XLMM","B08ZDDQS4T","17.79","20.00","20.37","0.00","25.49","0.00","7days"
"blueberry 1 kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","1-100","12356","B09KMBPWSD","B07GR82XK8","16.22","3.33","1.85","0.00","42.37","0.00","7days"
"blueberry unsweetened","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","1-100","12405","B09B2C4HDC","B08ZDDHWFT","3.90","0.00","0.00","0.00","0.00","0.00","7days"
