"keyword","keywordType","category","subcategory","traffic","categoryRank","mostClickedOrganicAsin","mostClickedSpAsin","firstPageOrganicCoverage","firstPageSpSOV","overallSpSOV","overallSpACOS","overallSbSOV","overallSbACOS","duration"
"dry kiwi fruits 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Dried Fruits","100-1K","2478","B082DGRGHB","B0B3MYZ1YX","1.02","8.15","9.68","0.00","8.44","0.00","7days"
"dry fruit basket for gifting","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Dried Fruits","100-1K","2495","B09K4DP14B","B09314YCY4","0.00","20.28","14.18","0.00","9.88","0.00","7days"
"true elements antioxidant mix seeds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Dried Fruits","100-1K","2634","B07VRCHQGF","B07WSCRMXT","0.26","7.04","0.00","0.00","0.00","0.00","7days"
"kokum","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Dried Fruits","100-1K","2710","B01GIP99JI","B08CKZC4J9","0.00","7.21","8.47","0.00","4.39","0.00","7days"
"kivi","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Dried Fruits","100-1K","2749","B07Q8MPBHT","B09R9TH74X","9.64","0.00","0.00","0.00","0.00","0.00","7days"
"sonature dry fruit gift","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Dried Fruits","100-1K","3089","B0BCWKCNHZ","B09HTWBZ66","8.42","7.50","11.67","0.00","32.20","0.00","7days"
"dehydrated fruits","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Dried Fruits","100-1K","3178","B09Q68Q626","B0BB3BQ1XS","2.85","2.23","3.01","0.00","24.49","0.00","7days"
"khopra","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Dried Fruits","100-1K","3357","B09BF3FSZH","B01DRAZGB2","4.88","22.91","20.63","0.00","7.69","0.00","7days"
"best+dry+fruits+gift","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Dried Fruits","1-100","3659","B07F457TXN","B0BBDP8GR2","2.58","6.67","6.96","0.00","15.48","0.00","7days"
"fig happilo","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Dried Fruits","1-100","3712","B0758D65V3","B0758D65V3","9.56","3.30","2.33","37.59","36.45","16.41","7days"
"jewel farmer berry mix","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Dried Fruits","1-100","3721","B08LPTYC4T","B07X7X8QH6","3.01","0.00","0.00","0.00","17.91","0.00","7days"
"tata dry fruits combo pack","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Dried Fruits","1-100","3730","B0BFRL2RJ2","B0BFRL2RJ2","8.09","8.16","16.10","0.00","42.36","0.00","7days"
"happilo+dry+fruits","BRANDED","Grocery-Dried Fruits, Nuts & Seeds","Mixed Dried Fruits","1-100","3807","B084885G2J","B07Q8MPBHT","67.49","98.33","98.53","0.00","34.11","0.00","7days"
"dried fruit mix","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Dried Fruits","1-100","3899","B01LXIWNMH","B0B6SJY2J9","17.59","31.33","30.63","0.00","46.90","3.08","7days"
"family pack of 5 premium dry fruits","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Dried Fruits","1-100","4216","B09HTWBZ66","B09HTWBZ66","8.44","5.10","5.00","0.00","42.96","0.00","7days"
