"keyword","keywordType","category","subcategory","traffic","categoryRank","mostClickedOrganicAsin","mostClickedSpAsin","firstPageOrganicCoverage","firstPageSpSOV","overallSpSOV","overallSpACOS","overallSbSOV","overallSbACOS","duration"
"kaju 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cashews","1K-5K","158","B0992N4SCC","B0992N4SCC","9.79","22.58","17.77","14.44","45.77","16.68","7days"
"chilgoza dry fruits 250g","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cashews","1K-5K","161","B08RSQ5BPC","B01N9Z7THS","0.72","17.74","12.57","171.36","2.00","0.00","7days"
"pecan nuts","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cashews","1K-5K","165","B01IFBP0P0","B01IFBP0P0","3.32","0.27","0.26","0.00","17.77","0.00","7days"
"kaju 500 grams","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cashews","1K-5K","174","B09GNSDZVW","B08487XKYR","18.27","26.30","25.04","13.37","35.75","0.00","7days"
"anjeer 1_kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cashews","1K-5K","186","B0B63C615W","B013U6IJNU","2.18","5.28","3.95","125.87","3.33","0.00","7days"
"dryfruits","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cashews","1K-5K","194","B01LY6B08A","B09HTWBZ66","30.38","19.56","18.43","15.05","21.28","34.22","7days"
"cashews 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cashews","1K-5K","196","B0992N4SCC","B08487XKYR","17.12","27.42","22.79","23.13","40.21","34.36","7days"
"snacks items","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cashews","1K-5K","222","B01LY6B085","B093CJKKMR","24.12","17.70","11.75","0.00","7.26","0.00","7days"
"mixed nuts","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cashews","1K-5K","250","B01LY6B085","B09WRMXP9Z","11.61","27.65","24.89","19.61","34.88","0.00","7days"
"cashew 200gm","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cashews","1K-5K","272","B01LZ5DPXD","B01LZ5DPXD","16.87","32.93","31.86","23.79","31.88","0.00","7days"
"dry food","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cashews","1K-5K","275","B01LY6B08A","B01LY6B085","14.35","22.57","19.53","34.26","44.79","144.38","7days"
"broken cashew","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cashews","1K-5K","279","B07GR3S1RL","B07GQW1HHN","5.88","6.18","8.45","7.72","45.11","13.55","7days"
"kaju badam","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cashews","1K-5K","282","B01LZ5DPXD","B08CY3FHZC","7.89","13.75","13.87","29.27","6.81","0.00","7days"
"cashews 1kg offers low price","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cashews","1K-5K","286","B0992N4SCC","B0992N4SCC","9.27","17.10","13.71","6.01","37.49","15.70","7days"
"healthy snacks","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cashews","1K-5K","295","B01LY6B085","B073B6DXH2","34.61","3.13","4.34","0.00","5.92","0.00","7days"
"amazon fresh grocery","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cashews","1K-5K","298","B085NTZMVR","B073XRDYT3","13.30","1.27","1.98","0.00","23.08","0.00","7days"
"nut","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cashews","1K-5K","305","B0B2D6P9NK","B09WRMXP9Z","13.76","8.37","8.84","26.20","17.67","7.08","7days"
"cashew nut","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cashews","1K-5K","315","B01LZ5DPXD","B08487XKYR","10.28","36.19","31.92","18.00","32.60","0.00","7days"
"kaju 1 kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cashews","1K-5K","316","B07V2F223N","B0992N4SCC","12.75","22.15","17.81","11.84","51.07","33.64","7days"
"amazon fresh fruits and vegetables","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cashews","1K-5K","320","B07GQVNVV8","B09HTWBZ66","8.92","16.85","13.60","0.00","11.17","0.00","7days"
"kaaju","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cashews","1K-5K","329","B08487XKYR","B07GQW1HHN","14.76","20.28","18.48","26.80","45.89","7.39","7days"
"kaajoo","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cashews","1K-5K","341","B01LZ5DPXD","B08487XKYR","17.32","40.00","0.00","0.00","0.00","0.00","7days"
