"keyword","keywordType","category","subcategory","traffic","categoryRank","mostClickedOrganicAsin","mostClickedSpAsin","firstPageOrganicCoverage","firstPageSpSOV","overallSpSOV","overallSpACOS","overallSbSOV","overallSbACOS","duration"
"medjool dates 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Dates","100-1K","572","B07R5PY9QD","B01FQVXX88","1.46","0.15","0.11","0.00","2.21","0.00","7days"
"dates 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Dates","100-1K","620","B0847HG7NN","B0758J61YD","4.73","6.08","9.38","0.00","22.25","0.00","7days"
"ajwa khajoor","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Dates","100-1K","629","B0BH35WPYG","B0767Z51PZ","0.68","0.50","1.28","0.00","0.91","0.00","7days"
"date powder","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Dates","100-1K","631","B09XDKBHMH","B0956NRMWB","2.30","3.57","3.36","0.00","8.20","0.00","7days"
"khajur dates in fresh","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Dates","100-1K","643","B0758J61YD","B084885G2J","29.58","65.38","65.55","9.70","14.86","0.00","7days"
"chuara","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Dates","100-1K","655","B075X38QVC","B08TBZGVZJ","8.29","0.00","0.00","0.00","29.54","0.00","7days"
"happilo omani dates","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Dates","100-1K","675","B077FXXBM6","B0758J61YD","63.99","65.42","60.98","11.36","34.55","3.05","7days"
"dates happilo","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Dates","100-1K","688","B0758JN85Y","B0758J61YD","51.75","69.66","59.81","8.21","25.13","11.75","7days"
"khajoor 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Dates","100-1K","698","B099WFJZR1","B096ZFNK2D","0.64","14.21","11.12","33.14","16.60","0.00","7days"
"seedless dates 500gm","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Dates","100-1K","701","B0762WK8FZ","B09FKJ499N","2.05","11.60","15.42","0.00","23.92","0.00","7days"
"premium dates","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Dates","100-1K","710","B07NRT36X5","B01FQVXX88","10.76","3.78","3.62","32.99","5.60","0.00","7days"
"chhuhara","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Dates","100-1K","716","B09J8MMGP5","B0B2DMPSB2","12.77","0.29","0.38","0.00","33.53","0.00","7days"
"dates dry fruits 1kg offers low price","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Dates","100-1K","717","B072MSCP5N","B096ZFNK2D","7.01","5.49","8.36","0.00","24.83","12.17","7days"
"khajur 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Dates","100-1K","719","B08PC8VH9V","B096ZFNK2D","2.64","13.55","12.26","86.29","23.72","0.00","7days"
"dates in fresh pantry","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Dates","100-1K","723","B0758J61YD","B085NTZMVR","39.32","58.13","57.24","11.02","22.03","0.00","7days"
"dates chocolate","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Dates","100-1K","762","B077P7YQCV","B084885G2J","0.41","18.72","13.37","0.00","8.44","0.00","7days"
"dats","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Dates","100-1K","764","B07NRT36X5","B0BH35WPYG","16.88","14.95","11.86","0.00","31.09","0.00","7days"
"kalmi dates 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Dates","100-1K","773","B07PZ4LH5Q","B09K1WQMN8","4.02","1.01","3.42","0.00","18.70","0.00","7days"
"mejdool dates","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Dates","100-1K","811","B079PYZHQQ","B0191AT0UA","0.07","20.00","0.00","0.00","0.00","0.00","7days"
"crown dates","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Dates","100-1K","813","B008MEITOK","B095J5S2HZ","8.35","7.80","7.73","0.00","24.76","0.00","7days"
"dubai dates","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Dates","100-1K","820","B09964SPRF","B08J7ZMM1L","0.54","9.63","7.67","0.00","5.95","0.00","7days"
"mabroom dates","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Dates","100-1K","828","B098PH9Q7M","B08JCZ96TL","0.10","0.39","0.46","0.00","8.35","0.00","7days"
