"keyword","keywordType","category","subcategory","traffic","categoryRank","mostClickedOrganicAsin","mostClickedSpAsin","firstPageOrganicCoverage","firstPageSpSOV","overallSpSOV","overallSpACOS","overallSbSOV","overallSbACOS","duration"
"happilo walnut","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Walnuts","100-1K","647","B01LWJQ6KJ","B01LWJQ6KJ","71.58","79.21","77.19","17.94","53.68","9.07","7days"
"walnuts 500 grams without shell","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Walnuts","100-1K","666","B0758JDCYB","B01LWJQ6KJ","20.26","49.88","44.52","20.34","26.15","0.00","7days"
"kesarco walnut","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Walnuts","100-1K","677","B0BHLCZMLG","B013U6HANA","11.60","1.99","2.02","0.00","31.32","0.00","7days"
"akhrot 1kg offers low price","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Walnuts","100-1K","692","B09LCRW1S9","B0758D65W6","8.01","41.27","31.96","13.75","21.46","0.00","7days"
"acrote dry fruits","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Walnuts","100-1K","709","B01LWJQ6KJ","B01LWJQ6KJ","28.84","27.65","25.90","29.97","42.29","0.00","7days"
"walnut without shell 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Walnuts","100-1K","721","B06X6KRZW1","B0758D65W6","3.20","29.64","25.53","62.92","21.80","0.00","7days"
"walnut kernels 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Walnuts","100-1K","752","B09P7GKHNQ","B01LWJQ6KJ","7.12","43.30","38.34","171.51","14.80","0.00","7days"
"akhrot 500gm without shell","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Walnuts","100-1K","791","B091MTZD7G","B01LXUM54I","6.14","44.34","33.99","45.91","21.46","0.00","7days"
"walnut 500gm without shell","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Walnuts","100-1K","798","B091MTZD7G","B01ABU07GU","6.77","31.12","28.78","76.02","22.58","9.86","7days"
"walnuts without shell 500gm","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Walnuts","100-1K","814","B091MTZD7G","B01ABU07GU","6.49","36.28","32.14","13.68","17.29","0.00","7days"
"akrod","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Walnuts","100-1K","840","B01LWJQ6KJ","B0758JDCYB","25.39","28.17","27.38","24.95","29.27","7.54","7days"
"walnut 100gm","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Walnuts","100-1K","856","B086ZWL1KR","B0758JDCYB","12.01","64.66","56.53","123.81","21.45","0.00","7days"
"walnut 1 kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Walnuts","100-1K","895","B09P7GKHNQ","B0758D65W6","7.00","23.94","21.44","29.27","14.86","7.72","7days"
"walnuts 1kg without shell offers low price","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Walnuts","100-1K","900","B0BG862HVR","B0758D65W6","10.52","27.99","24.74","0.00","25.19","0.00","7days"
"best walnuts online","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Walnuts","100-1K","910","B0758JDCYB","B01LWJQ6KJ","9.05","30.29","27.98","117.69","14.56","0.00","7days"
"walnut 250 grams without shell","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Walnuts","100-1K","913","B095WK41ZL","B01LWJQ6KJ","4.51","32.70","30.18","85.37","28.52","12.37","7days"
"happilo walnuts without shell","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Walnuts","100-1K","945","B01LWJQ6KJ","B01LWJQ6KJ","51.51","77.80","66.34","9.91","49.48","0.00","7days"
"dry+fruits.+offers","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Walnuts","100-1K","949","B092B74NN6","B08JZDG9CN","11.02","1.15","2.03","0.00","27.96","0.00","7days"
"walnut 200gm","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Walnuts","100-1K","951","B01LWJQ6KJ","B01LWJQ6KJ","19.71","53.71","47.23","58.50","28.19","10.43","7days"
"walnut inshell","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Walnuts","100-1K","959","B0758JDCYB","B0758D65W6","10.18","28.50","23.74","17.34","11.94","0.00","7days"
"walnuts without shell 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Walnuts","100-1K","994","B06X6KRZW1","B0758D65W6","4.95","26.98","22.79","0.00","20.24","0.00","7days"
"akhrot giri 500gm","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Walnuts","100-1K","996","B091MTZD7G","B01LXUM54I","11.05","42.13","33.50","29.81","29.79","0.00","7days"
"walnut kernel 500gm","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Walnuts","100-1K","1008","B091MTZD7G","B01ABU07GU","7.44","30.23","27.19","5.41","17.04","0.00","7days"
"happilo akhrot giri","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Walnuts","100-1K","1016","B0758JDCYB","B0758D65W6","29.59","40.00","34.59","12.01","45.81","0.00","7days"
"wallnuts 250grams without shell happilosoft toys for children","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Walnuts","100-1K","1048","B0176WD7F4","B07LF8HCLL","3.83","43.05","35.48","0.00","22.86","0.00","7days"
"à¤…à¤–à¤°à¥‹à¤Ÿ","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Walnuts","100-1K","1058","B01LWJQ6KJ","B01LWJQ6KJ","17.64","30.81","27.45","19.71","31.28","8.28","7days"
"walnut giri","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Walnuts","100-1K","1059","B0758JDCYB","B01LWJQ6KJ","12.85","44.04","37.55","0.00","12.84","0.00","7days"
"akhrot walnut giri 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Walnuts","100-1K","1062","B07M9SG9PX","B07LF8HCLL","17.17","30.90","28.18","14.12","18.46","0.00","7days"
"walnuts without shell 250 gm","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Walnuts","100-1K","1081","B095WK41ZL","B01ABU07GU","6.81","31.65","27.95","29.58","30.59","0.00","7days"
"walnut 1 kg without shell","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Walnuts","100-1K","1101","B0BG862HVR","B0758D65W6","6.04","40.71","37.50","33.68","19.46","0.00","7days"
"walnet","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Walnuts","100-1K","1145","B01LWJQ6KJ","B01LWJQ6KJ","22.14","45.09","43.78","12.46","41.16","0.00","7days"
"akharot","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Walnuts","100-1K","1152","B01LWJQ6KJ","B01LWJQ6KJ","16.78","0.00","0.00","0.00","0.00","0.00","7days"
"walnut kernels 500g","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Walnuts","100-1K","1169","B091MTZD7G","B01ABU07GU","6.79","27.39","24.65","39.34","21.69","9.40","7days"
"walnut 500g","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Walnuts","100-1K","1225","B07P56M78L","B0758JDCYB","7.77","73.43","59.91","97.91","17.63","0.00","7days"
"ambrosia walnut","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Walnuts","100-1K","1241","B07P6L77MX","B07N48WG4P","5.67","9.68","8.86","0.00","24.37","0.00","7days"
"walnut in shell","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Walnuts","100-1K","1245","B075NSDLKB","B013U6HANA","14.11","30.48","22.79","23.78","17.20","0.00","7days"
"akhrot without shell","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Walnuts","100-1K","1251","B01ABU07GU","B01LWJQ6KJ","13.87","32.15","28.40","39.45","21.34","0.00","7days"
"dry fruits walnuts","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Walnuts","100-1K","1273","B01LWJQ6KJ","B01ABU07GU","13.40","34.10","27.25","19.06","16.05","0.00","7days"
"walnut happilo","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Walnuts","100-1K","1279","B01LWJQ6KJ","B01LWJQ6KJ","62.78","79.71","77.32","7.16","58.43","0.00","7days"
"best+walnuts+online","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Walnuts","100-1K","1292","B09LCRW1S9","B01LWJQ6KJ","13.69","39.14","32.24","15.51","21.63","0.00","7days"
"dry+fruit+sale","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Walnuts","100-1K","1329","B08P1FLDB8","B08JZDG9CN","7.72","9.51","14.42","0.00","24.91","0.00","7days"
"organic walnuts","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Walnuts","100-1K","1351","B079H12TRG","B01LWJQ6KJ","8.95","29.28","23.85","16.03","12.66","0.00","7days"
"akhroot","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Walnuts","100-1K","1374","B01LWJQ6KJ","B01LWJQ6KJ","16.36","0.00","0.00","0.00","0.00","0.00","7days"
"akhrot giri 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Walnuts","100-1K","1383","B09P7GKHNQ","B0758D65W6","9.49","41.72","37.17","65.24","14.76","0.00","7days"
"walnuts 500gm with shell","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Walnuts","100-1K","1410","B07LFJZR46","B0758JDCYB","6.57","40.56","36.30","33.80","26.05","0.00","7days"
"akroot","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Walnuts","100-1K","1430","B01LWJQ6KJ","B0758JDCYB","26.58","48.23","44.54","0.00","28.12","0.00","7days"
"walnut kernels 250 grams","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Walnuts","100-1K","1526","B095WK41ZL","B01LXUM54I","3.79","32.05","30.13","122.46","27.75","0.00","7days"
"walnuts 1 kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Walnuts","100-1K","1551","B09FGT3DJZ","B0758D65W6","7.53","25.18","21.09","7.67","22.09","0.00","7days"
"walnut powder","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Walnuts","100-1K","1558","B092W23NY4","B01ABTZXQ0","0.92","0.26","0.46","0.00","1.02","0.00","7days"
"walnut without shell 500gm","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Walnuts","100-1K","1612","B091MTZD7G","B01LWJQ6KJ","7.09","37.16","28.77","0.00","21.03","6.91","7days"
"badam pista walnut combo pack","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Walnuts","100-1K","1620","B0B59T7R7X","B098Q6Y79B","8.82","19.69","23.47","0.00","5.94","0.00","7days"
"almond cashew pista walnut combo","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Walnuts","100-1K","1627","B09LR5JZKJ","B01LY6B085","5.89","11.76","10.30","0.00","11.22","0.00","7days"
