"keyword","keywordType","category","subcategory","traffic","categoryRank","mostClickedOrganicAsin","mostClickedSpAsin","firstPageOrganicCoverage","firstPageSpSOV","overallSpSOV","overallSpACOS","overallSbSOV","overallSbACOS","duration"
"happilo brazil nuts 250g","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1-100","4508","B07TLWVQ2Z","B0992KMQYL","20.27","62.20","48.59","0.00","42.76","0.00","7days"
"pist","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1-100","4511","B01LZ5DFW2","B01LZ5DFW2","24.71","25.69","25.21","10.65","30.46","0.00","7days"
"pistachios without salt","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1-100","4547","B0992MLYPH","B09GNTYNFL","31.71","57.89","47.56","76.69","60.32","0.00","7days"
"1 kg pistachios","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1-100","4564","B075Q57MHV","B08ZD1DXKV","21.86","42.11","40.91","0.00","58.33","0.00","7days"
"salted pista 500gm","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1-100","4566","B01LZ5DFW2","B0B4B4T88X","25.28","49.45","48.48","0.00","62.77","21.41","7days"
"à¤ªà¤¿à¤¸à¥à¤¤à¤¾","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1-100","4625","B09M6WW5QV","B0992MLYPH","23.29","44.60","41.32","24.34","13.89","0.00","7days"
"fresh fruits and vegetables","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1-100","4640","B01LY6B085","B07YSC7S9F","13.72","9.52","7.73","0.00","12.57","0.00","7days"
"pista 1kg unsalted","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1-100","4675","B08YXPDJY6","B0992MLYPH","20.37","61.33","39.26","0.00","50.60","0.00","7days"
"dryfruit gift items","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1-100","4689","B092RCZ59X","B09HTWBZ66","0.00","0.00","0.00","0.00","0.00","0.00","7days"
"happilo badam 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1-100","4712","B0992KMQYL","B0992KMQYL","50.41","50.00","45.10","10.31","47.52","0.00","7days"
"almond cashew pista combo","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1-100","4719","B098SYW5TD","B07SZ4MX8N","10.95","11.29","9.80","0.00","33.71","0.00","7days"
"shivram peshawari & bros dry fruits","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1-100","4736","B01EMZTD60","B09NMD1QK9","10.56","0.00","0.00","0.00","34.29","0.00","7days"
"fresh strawberry fruits","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1-100","4756","B09J3RK55T","B0B6FC4P9Q","3.01","27.75","23.83","0.00","6.29","0.00","7days"
"pista roasted salted 500g","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1-100","4759","B07XBKW3NH","B01LZ5DFW2","20.48","56.79","47.71","12.19","53.85","0.00","7days"
"tata pistachio","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1-100","4805","B01LZ5DFW2","B09GNTYNFL","25.88","44.32","44.57","0.00","43.14","0.00","7days"
"happilo healthy nutmix","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1-100","4851","B01LY6B085","B01LY6B085","65.47","84.62","82.93","13.26","63.53","0.00","7days"
"pista happilo 500g","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1-100","4869","B08487WD3J","B01LZ5DFW2","42.49","55.36","56.25","0.00","51.61","0.00","7days"
"pistaa baadaam","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1-100","4909","B01LZ5DFW2","B0B4B4T88X","23.76","0.00","0.00","0.00","0.00","0.00","7days"
"happilo roasted pistachios","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1-100","4973","B01LZ5DFW2","B01LZ5DFW2","72.73","81.40","80.00","0.00","61.04","0.00","7days"
"fig 500g","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1-100","4981","B0BPDYZDCL","B0758D65V3","1.79","10.91","0.00","0.00","6.49","0.00","7days"
"pistachio 1 kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1-100","4992","B01LZ5DFW2","B08TMC7GHX","19.38","33.01","32.71","0.00","49.30","0.00","7days"
"pista 500gm giri","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1-100","5025","B01LZ5DFW2","B08487WD3J","19.40","42.00","41.94","0.00","43.06","0.00","7days"
"badam pista cashew combo","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1-100","5037","B08YW8JBHH","B01LY6B085","12.95","11.84","8.40","0.00","19.83","0.00","7days"
"pistachios salted roasted","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1-100","5062","B01LZ5DFW2","B08R9QVDGR","23.81","24.19","23.13","0.00","55.74","0.00","7days"
"figs dry fruits ashoka","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1-100","5079","B09814GYYM","B08H2FHXQN","0.00","0.00","0.00","0.00","0.00","0.00","7days"
"pistachos 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1-100","5104","B07M9SJK8Q","B010Q71LR2","13.79","31.91","21.84","0.00","37.50","0.00","7days"
"pista unsalted 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1-100","5120","B09VDSG6Z7","B0992MLYPH","19.05","36.49","28.57","0.00","42.86","0.00","7days"
"happilo anjeer 250 grams","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1-100","5123","B0758J61YD","B0758D65V3","34.73","2.80","1.73","0.00","39.77","0.00","7days"
"dry fruits figs","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1-100","5126","B013U6IJNU","B0B6S1BVRQ","5.51","5.88","3.80","0.16","2.91","0.00","7days"
"happilo trail mix","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1-100","5147","B0758JGNHJ","B01LY6B085","75.32","77.78","75.33","69.20","40.82","0.00","7days"
"pistachios 500gm salted","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1-100","5190","B08TMC7GHX","B08487WD3J","18.54","45.24","42.16","13.89","59.90","0.00","7days"
"happilo anjeer 500gm","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1-100","5191","B01LL2BK72","B0758D65V3","36.94","15.38","11.11","0.59","27.42","0.00","7days"
"roasted unsalted pistachios","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1-100","5206","B08Q77H983","B0BNX7LMT7","21.01","68.57","64.10","0.00","54.76","0.00","7days"
"pista+nut","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1-100","5221","B06WLL7SFC","B08487WD3J","24.46","28.57","0.00","0.00","0.00","0.00","7days"
"monacca","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1-100","5222","B07WC9KBF9","B08JR78WB7","17.96","19.72","14.74","0.00","18.84","0.00","7days"
"alubokhra dry fruit","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1-100","5228","B01MYFOPDG","B07N3Y2HZG","2.71","0.00","0.00","0.00","19.85","0.00","7days"
"dry fruits chilgoza","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1-100","5267","B0BN69YLY7","B09VPKYX9J","0.00","14.63","12.77","0.00","10.53","0.00","7days"
"pista raw unsalted","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1-100","5298","B09TH95FS9","B0992MLYPH","18.96","56.60","35.48","3.26","51.46","0.00","7days"
"organic pistachio salted","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1-100","5340","B08K3TLGHY","B08487WD3J","15.53","60.00","34.25","0.00","50.57","0.00","7days"
"pista 400gm","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1-100","5389","B01LZ5AND7","B01LZ5DFW2","15.51","40.00","33.73","0.00","41.49","0.00","7days"
"salted pista without shell","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1-100","5414","B098L1ZJYV","B099PPBTPL","28.61","34.29","30.91","0.00","42.86","0.00","7days"
"1kg+pistachio","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1-100","5435","B0B3959RCN","B08487WD3J","18.94","27.06","26.80","0.00","39.47","0.00","7days"
"vedaka pista 500gm","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1-100","5456","B01LZ5DFW2","B08487WD3J","26.44","44.12","40.74","0.00","42.68","0.00","7days"
"pista fresh","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1-100","5463","B01LZ5DFW2","B01LZ5DFW2","24.07","61.40","55.07","8.48","41.03","0.00","7days"
"pista 1kg cashew nut","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1-100","5521","B08TM3NS88","B09TQYVMHY","16.67","0.00","0.00","0.00","0.00","0.00","7days"
"panjari dry fruits powder","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1-100","5525","B08XQP6RZL","B09961RZ7V","0.00","1.23","2.02","0.00","5.83","0.00","7days"
"pista 500 grams","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1-100","5567","B08487WD3J","B08487WD3J","17.75","56.98","54.90","0.00","52.34","0.00","7days"
"à¤ªà¤¿à¤¸à¥à¤¤à¤¾ 250g","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1-100","5570","B06WLL7SFC","B0992MLYPH","14.89","55.29","49.56","0.00","0.00","0.00","7days"
"happilo almonds 250 grams","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1-100","5573","B01LZ5DPXD","B084884GKX","64.79","54.46","54.13","9.80","61.05","0.00","7days"
"happilo pista 500gm","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1-100","5589","B01LZ5DFW2","B0758JQGPL","54.15","66.07","0.00","0.00","43.08","0.00","7days"
"dry fruits pista 500gm","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1-100","5605","B09B4DJS2F","B08487WD3J","15.02","46.15","39.47","6.22","35.71","0.00","7days"
"happilo dry fruits pista","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1-100","5607","B01LZ5AND7","B01LZ5DFW2","54.44","77.78","0.00","0.00","64.29","0.00","7days"
"iranian pistachios","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1-100","5691","B09GNTYNFL","B08487WD3J","31.77","52.27","0.00","9.47","0.00","0.00","7days"
"happilo dry fruits anjeer","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1-100","5714","B01LL2BK72","B0758D65V3","55.05","90.48","76.32","0.00","37.50","0.00","7days"
"irani pistachios","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1-100","5742","B07JGZ5T2L","B09N9BY4DC","12.45","31.82","27.78","0.00","37.50","0.00","7days"
"happilo resin","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1-100","5783","B08487YGZQ","B09GNSFRVC","74.73","50.00","0.00","0.00","0.00","0.00","7days"
"raw pistachios without shell","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1-100","5790","B08DLNTLSD","B0992MLYPH","19.66","66.67","50.00","0.00","39.47","0.00","7days"
"afghani figs","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1-100","5805","B0BBVWN7XS","B08NCQGVCH","0.55","2.27","1.92","0.00","4.48","0.00","7days"
"à°…à°‚à°œà±€à°° à°«à±à°°à±‚à°Ÿà± dry fruits","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1-100","5823","B08V6VXB7T","B0B362KPCF","0.00","12.12","11.63","0.00","19.23","0.00","7days"
"pistachos","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1-100","5845","B09N9BY4DC","B01LZ5DFW2","24.79","34.55","32.53","0.00","45.83","0.00","7days"
"happilo dry fruits hamper","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1-100","5902","B09BN1Q1WG","B08JZDG9CN","76.88","46.94","31.51","0.00","54.84","0.00","7days"
"natural dry fruits","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1-100","5958","B08V6VXB7T","B09HTWBZ66","5.76","19.23","17.44","0.00","19.78","0.00","7days"
"salted pista 250 grams","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1-100","5974","B09R456193","B01LZ5DFW2","21.76","68.89","49.32","1.89","51.35","8.47","7days"
"happilo pistachios","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1-100","6031","B08487WD3J","B01LZ5DFW2","73.21","65.52","0.00","16.10","46.88","0.00","7days"
"tata sampann pistachios 500gm","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1-100","6084","B09GNTYNFL","B09GNTYNFL","28.48","22.22","18.60","9.01","25.00","0.00","7days"
"happilo daily super health mix","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1-100","6137","B099KNZ4QM","B01LZH58GI","71.72","82.86","79.49","0.00","59.38","0.00","7days"
"happilo salted pistachio","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1-100","6147","B01LZ5DFW2","B01LZ5DFW2","69.94","70.00","0.00","0.00","0.00","0.00","7days"
"shelled pistachio","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1-100","6160","B08TMC7GHX","B01LZ5DFW2","14.04","63.08","31.37","4.18","49.60","0.00","7days"
"nuts and dry fruits combo gift box","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1-100","6162","B08JVDPG27","B09HTWBZ66","0.00","3.75","5.83","0.00","3.26","0.00","7days"
"pistsaticho 500gms","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1-100","6221","B09N9BY4DC","B01LZ5DFW2","15.74","43.55","42.22","4.28","32.32","0.00","7days"
"dry fruits 1kg offers low price pistachio","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1-100","6295","B07X8GMZK8","B09N9BY4DC","24.10","53.33","49.45","0.00","38.46","0.00","7days"
"non salted pista without shell","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1-100","6321","B088SFGFTQ","B0992MLYPH","21.52","46.67","40.35","7.93","54.67","0.00","7days"
"tata pistachio 500gm","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1-100","6355","B09GNTYNFL","B09GNTYNFL","32.69","52.78","52.50","0.00","56.86","0.00","7days"
"pista giri","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1-100","6357","B01A111XJO","B01A111XJO","19.44","34.43","33.77","0.00","38.37","0.00","7days"
"happilo pista 200gm","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1-100","6372","B0758JQGPL","B01LZ5DFW2","58.82","59.62","0.00","3.28","54.76","1.33","7days"
"pusta","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1-100","6389","B01LZ5DFW2","B09B3WPYML","26.74","25.56","20.91","0.00","38.64","0.00","7days"
"pista unsalted without shell 1 kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1-100","6403","B09VDSG6Z7","B0B4JYLL3J","6.71","37.50","32.50","0.00","42.03","0.00","7days"
"organic figs dry fruits","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1-100","6449","B01LL2BK72","B08H2FHXQN","2.39","3.90","2.97","0.00","6.31","0.00","7days"
"à¤ªà¤¿à¤¸à¥à¤¤à¤¾ 1kg à¤¸à¤¸à¥à¤¤à¥‡ à¤¦à¤° à¤ªà¤°","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1-100","6479","B08DNJ87MR","B08487WD3J","8.28","34.26","31.25","0.00","31.25","0.00","7days"
"pista seeds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1-100","6522","B06WLL7SFC","B0B53YWFWD","21.05","0.00","0.00","0.00","33.12","0.00","7days"
"pistachio in fresh 500gm","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1-100","6526","B07GJMM12C","B01LZ5DFW2","27.38","44.00","0.00","14.92","0.00","0.00","7days"
"salted pistachios without shell","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1-100","6530","B098L1ZJYV","B08487WD3J","24.05","60.92","53.27","0.00","52.80","0.00","7days"
"badam pista combo pack","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1-100","6532","B09FDWF332","B08CY3FHZC","14.71","0.00","0.71","0.00","33.78","0.00","7days"
"pitachios good quality 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1-100","6580","B09VGS2KH7","B08ZD1DXKV","15.59","0.00","0.00","0.00","0.00","0.00","7days"
"rosted pista","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1-100","6627","B01LZ5DFW2","B08487WD3J","20.18","0.00","0.00","0.00","0.00","0.00","7days"
"un salted pista 500gm","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1-100","6656","B08KS54N92","B0992MLYPH","25.38","66.67","24.75","0.00","46.15","0.00","7days"
"raw pistachio","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1-100","6689","B08LCBTK33","B07Q1Z293G","15.82","42.11","41.67","4.26","49.25","0.00","7days"
"pista 100g","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1-100","6699","B0759RX62G","B08487WD3J","13.98","52.70","49.40","0.00","48.77","0.00","7days"
"pista without roasted and salted","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1-100","6712","B075XZC66Q","B08487WD3J","17.89","60.00","51.72","0.00","31.71","0.00","7days"
"dry fruits pistachio 1kg offer","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1-100","6717","B08C8H8BZN","B08487WD3J","25.60","45.24","44.44","3.69","47.17","0.00","7days"
"pista dry fruits 1/2 kg offers low price","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1-100","6767","B09PH9DBMT","B01LZ5DFW2","15.63","66.28","55.74","12.69","42.28","7.03","7days"
